Country Name,Country Code,Time,Time Code,CO2 emissions (kg per PPP $ of GDP) [EN.ATM.CO2E.PP.GD],"Intentional homicides (per 100,000 people) [VC.IHR.PSRC.P5]",General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS],"Community health workers (per 1,000 people) [SH.MED.CMHW.P3]","School enrollment, tertiary (% gross) [SE.TER.ENRR]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]","Unemployment, youth total (% of total labor force ages 15-24) (national estimate) [SL.UEM.1524.NE.ZS]",Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],Gross domestic savings (% of GDP) [NY.GDS.TOTL.ZS],"Government expenditure per student, tertiary (% of GDP per capita) [SE.XPD.TERT.PC.ZS]","Government expenditure per student, secondary (% of GDP per capita) [SE.XPD.SECO.PC.ZS]","Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Age dependency ratio, young (% of working-age population) [SP.POP.DPND.YG]","GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]",GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],"Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]",GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],Market capitalization of listed domestic companies (% of GDP) [CM.MKT.LCAP.GD.ZS],Trade (% of GDP) [NE.TRD.GNFS.ZS],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Net migration [SM.POP.NETM],Strength of legal rights index (0=weak to 12=strong) [IC.LGL.CRED.XQ],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]",Gini index [SI.POV.GINI],Net primary income (Net income from abroad) (constant LCU) [NY.GSR.NFCY.KN],Population growth (annual %) [SP.POP.GROW],"Secondary education, teachers [SE.SEC.TCHR]",Lending interest rate (%) [FR.INR.LEND]
"Gambia, The",GMB,2019,YR2019,0.105996051384222,..,8.24288423463265,..,..,..,..,..,22.0392760562318,5.35036731514751,..,..,2.78892993927002,63.755,83.2521777942868,2083.3090583462,668.635248433711,3.91944096552617,3.51379371760613,..,53.2696525651825,7.11567625631191,-4186,6,51.5,..,..,2.58268676641821,8109,28
Georgia,GEO,2019,YR2019,0.174017826251975,2.04200131510189,13.1113119571411,..,63.9155006408691,106.296348571777,11.57,30.35,25.2989279020353,16.3365458769725,..,..,3.80864000320435,73.47,31.9174141981834,14989.2581602038,4773.42330884899,7.91323474836721,5.16261881694761,..,118.599368307339,4.85289821696731,-5414,9,9.7,35.9,..,-0.171565740223868,39273,10.8164
Germany,DEU,2019,YR2019,0.137835697769877,0.749265097821008,20.2448420216166,..,73.5210571289063,97.5406036376953,3.14,5.77,22.1205438118655,27.7733598981936,..,..,5.11664009094238,81.2926829268293,21.1029506785209,53874.3166510099,43284.6024553493,1.84350546307606,0.828957962184475,53.9622416653744,87.6864098858133,1.44565976888251,360560,6,3.7,31.7,109134363000,0.22551987421288,587355.875,..
Ghana,GHA,2019,YR2019,0.114107914649593,1.81141661979507,7.0432037272921,..,17.2329692840576,74.6794891357422,..,..,19.6644216829873,17.7388186705336,..,..,..,64.74,64.454037012689,5345.94159228145,1981.63615575459,5.67745282272176,4.30597775008748,..,76.8248018271755,7.14364003330856,-21860,6,47.2,..,..,2.08893118401294,187914,..
Greece,GRC,2019,YR2019,0.179708111826724,0.737656733141517,20.1086081686133,..,148.530883789063,108.076858520508,17.04,34.89,12.4365075120472,10.7721411482524,..,..,3.58803009986877,81.6390243902439,22.3515566807619,29721.5857620428,19018.9021220823,2.43579299453194,1.99172267897372,26.1399007620275,81.8842261522364,0.25300752203812,-21581,2,4,33.1,-1636361000,-0.105339392724138,79864,..
Greenland,GRL,2019,YR2019,..,..,43.8373793213957,..,..,..,..,..,31.3098385610704,21.1943676641429,..,..,10.1543550491333,72.0436585365854,29.5695397658458,..,47908.106718779,..,1.90387999914938,..,92.2825782157593,..,-338,..,..,..,..,0.359917714454119,..,..
Grenada,GRD,2019,YR2019,0.16506511058262,13.0374378175329,..,..,..,..,..,..,..,..,..,..,..,74.863,36.4092165898618,15393.7911544332,9247.90865964199,16.3973140363487,-0.0515245470908638,..,..,0.59814976473601,-190,6,16.5,..,..,0.724563813014991,..,7.57102791666667
Guam,GUM,2019,YR2019,..,4.15124774646551,..,..,..,..,..,..,..,..,..,..,..,77.717,42.7098339525362,..,35378.9557673086,..,2.6281363284828,..,77.8353754319824,..,-1852,..,..,..,..,-0.0320187846270383,..,..
Guatemala,GTM,2019,YR2019,0.128700126316806,25.6454661905273,11.1401412594413,..,22.1422004699707,51.1495780944824,2.19,4.57,14.2965824957096,4.00354056866801,..,..,3.19928002357483,73.129,55.596085474904,8671.70271768025,4263.07805308999,1.517108293939,2.39207311218495,..,45.5178479962985,3.69998398008601,-58095,9,24.6,..,..,1.56038604781094,98165,12.7408333333333
Guinea,GIN,2019,YR2019,0.115772389156167,..,15.402325246451,..,7.018630027771,36.8065414428711,5.02,7.14,19.7285576989784,11.3973431416468,..,..,1.84836995601654,59.72,78.1838116054734,2545.14020150947,937.703136755322,0.330286823127535,2.97045089567627,..,78.4153132285974,9.47001039253011,-3243,6,104,..,..,2.5376470778001,36050,..
Guinea-Bissau,GNB,2019,YR2019,0.085204252571368,..,14.7836395969176,..,..,..,..,..,20.3174058091286,5.52071953764078,..,..,2.94781994819641,60.882,74.1421497338646,1890.53310322385,633.725743772769,4.97754701310162,2.08687501613241,..,55.3725855838767,0.246600268147853,-1395,6,79.5,..,..,2.33629046990663,..,..
Guyana,GUY,2019,YR2019,0.266682990345592,17.0265401194111,..,..,..,..,13.52,27.4,..,..,..,..,..,69.124,44.0246513534114,12820.4897019679,6348.69808969246,32.7649489760172,3.6064512807903,..,..,2.0872308916202,-24678,3,29.4,..,..,1.67134809737405,..,10.4791666666667
Haiti,HTI,2019,YR2019,0.0919540368350098,..,7.30333800698013,..,..,..,..,..,20.3220641772632,-5.41171929525248,..,..,1.78681135177612,64.255,52.5220150169259,3101.5941218094,1386.51851658061,0.507242085199014,-2.98851803577401,..,49.1619970443397,18.7037825672506,-34635,2,62.5,..,..,1.33513859245585,..,14.1216666666667
Honduras,HND,2019,YR2019,0.175398748356841,41.1092508968675,13.4889921041466,..,25.4578990936279,..,5.55,10.57,22.7310906809155,4.54052631758689,..,..,4.91284990310669,72.881,49.1002562675276,5613.66058791544,2446.10530994908,3.80668065182598,0.942197107044706,..,98.0275897083463,4.36587159819272,-6550,8,17.8,48.2,..,1.68069668453135,47069,17.3391666666667
"Hong Kong SAR, China",HKG,2019,YR2019,..,0.320165568287547,10.8771204597231,..,80.9841003417969,107.740280151367,2.92,8.54,18.1910917403878,19.7440069627744,..,..,3.81060004234314,85.1804878048781,17.4595642640669,59588.5186115321,44192.3802322275,16.0581080784622,-2.40244270694151,1349.45627036086,353.759486903144,2.8832085377399,0,8,..,..,..,0.739283471323064,31050,5.10416666666667
Hungary,HUN,2019,YR2019,0.137426110454871,0.654946166239357,20.0667409001483,..,52.4446487426758,103.261009216309,3.42,11.4,28.4019097900605,30.7104962401598,..,..,4.23763990402222,76.3195121951219,22.0968764349333,32649.141606821,15082.6714945249,60.1881842325958,4.90525723832003,20.0541568245413,160.782579643207,3.3385863538201,33559,9,4.1,30,-1075423139000,-0.0452557101106228,77166,1.79243378790833
Iceland,ISL,2019,YR2019,0.0755392121567911,0.277181452680275,24.4440098213804,..,77.5888366699219,115.444961547852,3.51,8.74,21.1222100589572,25.6348804772655,..,..,7.54735994338989,83.1634146341463,28.2097671697283,56923.1724505126,57806.0637541946,-2.24144619228296,0.187989583706965,..,84.2053858648925,3.01397179156056,5152,4,2.7,..,..,2.19893225826166,..,6.95
India,IND,2019,YR2019,0.257845876268661,2.92666092999238,10.9633238511585,..,28.5728988647461,73.79296875,6.51,22.69,30.2210173236596,28.0792726166747,..,..,4.40722990036011,70.91,39.7317574174921,6608.62407769303,1941.81508305731,1.78738173893008,2.67971666564057,80.7657528763333,39.9625279339591,3.72950573539126,-593495,9,34.3,35.7,..,1.02531077187097,6103309,9.46625
Indonesia,IDN,2019,YR2019,0.186050602207105,..,8.80847129067065,..,..,..,3.59,13.58,33.7801423773992,33.2610641332227,..,..,2.84185004234314,70.518,38.4950112671162,11857.7891170417,3892.42167262992,2.23336204897898,4.03913565656795,46.7627487805193,37.6277775357108,3.03058664969491,-40567,6,23.8,37.6,..,0.937689273635294,1307157,10.3658333333333
"Iran, Islamic Rep.",IRN,2019,YR2019,0.495817952453409,..,15.3002757124464,..,60.3941917419434,..,10.74,26.07,..,35.6231569057776,..,..,3.66319990158081,76.103,34.8916632669285,14084.3535121898,5017.11721737502,0.531459953106263,-3.7227071496431,113.013186320113,50.7543342226066,39.9073455697783,-34571,2,13.5,40.9,..,1.0995932626289,..,..
Iraq,IRQ,2019,YR2019,0.391261669454164,..,19.3153864358706,..,..,..,..,..,22.7407245883586,37.7173853510737,..,..,..,71.576,67.2648767242493,10299.3162890193,4854.38663347607,-1.31640616709339,3.04417477417292,..,68.9899384202806,-0.198965380023871,-29880,0,26.2,..,..,2.36838831392184,..,..
Ireland,IRL,2019,YR2019,0.0807987031502359,0.653592234834056,12.0162032115118,..,75.1799392700195,138.091217041016,4.95,12.46,54.9547860464203,58.7249502631162,..,..,3.29461002349854,82.7024390243903,31.3300085627997,86681.2701326,75239.3028933993,-11.6781097247291,4.00871470995814,..,252.249498215744,0.939044481054341,29113,7,3.3,30.8,-73687618000,1.36762695363797,..,..
Isle of Man,IMN,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,80.737,24.4475112010133,..,96856.4389416175,..,0.0661361695924114,..,..,..,239,..,..,..,..,0.188422790499936,..,..
Israel,ISR,2019,YR2019,0.170957799617453,1.5334715897378,22.0629198918151,..,60.3251991271973,104.973701477051,3.73,6.56,23.3312041148662,25.5817405701838,..,..,6.12578010559082,82.8048780487805,47.0277451391173,40810.0545001143,39591.3687578516,4.31398063025056,2.18667357283937,58.9785218960465,56.3464191037359,0.844128708733833,16132,6,3.5,..,-7886757000,1.90898263957994,..,3.53355862696966
Italy,ITA,2019,YR2019,0.115968603374044,0.530739955972358,18.6186669234411,..,66.0515975952148,101.188262939453,9.95,29.16,18.2396779336637,21.56553716545,..,..,4.09531021118164,83.4975609756098,20.4434775290501,42739.0499116836,32114.2998563994,1.55049869758514,1.64850339347826,..,59.8789802234549,0.611246943765291,21615,2,3,34.6,14733941000,-1.15302842389952,463918,2.6025
Jamaica,JAM,2019,YR2019,0.279423241255881,47.622889266476,13.5821416742441,..,..,..,4.99,15.04,24.2690954889352,10.2306493501571,..,..,5.16364002227783,71.767,29.7764018330673,10244.3661921245,5307.50998134429,4.20330543590115,0.822801591466416,99.6000285792063,90.1106076335994,3.90510000865876,-11329,9,13.2,..,..,0.0688992221522009,12957,12.9984552678412
Japan,JPN,2019,YR2019,0.201843530685297,0.25359388544281,19.9265628536314,..,64.6171188354492,100.871200561523,2.35,3.93,25.8166108973606,25.527528455238,..,..,3.15724992752075,84.3563414634146,20.5838579375382,41697.4119392172,36081.0653118215,0.779973898912205,-0.100125010765368,120.841085931284,35.1798202012852,0.468776159383912,183953,5,2.5,..,..,-0.140464977878172,634431,..
Jordan,JOR,2019,YR2019,0.23124942489599,1.14032721876481,16.8408270987819,..,33.0608711242676,65.193977355957,16.8,37.31,15.8754035007167,2.99950612607053,..,..,2.98847007751465,76.044,53.1661162617722,9551.16538398891,3916.01694720161,1.62181276099581,-0.34786980936849,46.7537751024361,84.7527857994316,0.761514047265513,28963,11,15.5,..,..,2.25750975365016,57817,8.665
Kazakhstan,KAZ,2019,YR2019,0.417158325058548,..,9.13216157597614,..,61.7497596740723,113.227531433105,4.8,..,27.6275749485747,38.588982108996,..,..,2.8569700717926,73.18,45.5464738248425,26351.8044418782,11402.7601135125,2.05367643388584,3.16101154004124,24.7553561990471,64.8586165517565,5.2454767960839,-37080,8,10.2,..,..,1.28960848954226,251053,..
Kenya,KEN,2019,YR2019,0.0911940720763497,3.09314062700865,12.1707982641069,..,10.0383996963501,..,5.01,12.85,19.3418343739777,10.406540436173,..,..,4.97439002990723,62.943,68.508656276781,4601.21137258037,1653.82819354564,0.468162589298899,3.05495784951917,24.9667179521392,31.7594667253776,5.23585999425422,-61946,11,39.4,..,..,1.97845694844255,..,12.4411328875147
Kiribati,KIR,2019,YR2019,0.33715977418049,..,78.2936786997968,..,..,..,8.56,22.29,18.5859118612283,-63.8931864353805,..,..,12.3946599960327,67.15,59.9350840167766,1990.51796828171,1424.79755536944,-0.313754689222595,-2.12468454999961,..,119.890803250508,-1.81307995302948,-691,4,51.4,27.8,..,1.60651238884126,..,..
"Korea, Dem. People's Rep.",PRK,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,73.198,27.2892425761649,..,..,..,..,..,..,..,-3139,..,17.3,..,..,0.456446820087896,..,..
"Korea, Rep.",KOR,2019,YR2019,0.271808677400371,0.573316688875289,17.0778656523485,..,98.4461898803711,95.865348815918,3.75,9.95,31.4949336660816,34.2895168355843,..,..,4.68465995788574,83.2268292682927,17.1818113829391,42758.5903686092,31640.2146297141,0.58339386057331,1.8889146004307,89.9127831414539,75.757138965219,0.383000303608079,110799,5,3.1,..,..,0.347874968577526,228907,3.44583333333333
Kosovo,XKX,2019,YR2019,..,1.42276266125385,12.4854382801326,..,..,..,25.07,49.04,34.5581995450224,7.43000595790465,..,..,..,79.022,34.5105813739272,11318.462250308,4219.08069197588,3.60868246447811,5.23743315853207,..,85.7534085053482,2.67599202639892,-33469,11,11.2,..,..,-0.457730006092952,..,..
Kuwait,KWT,2019,YR2019,0.42305464952317,0.36027114456679,25.2217612427851,..,55.3075485229492,..,..,..,25.0183127540243,33.4222340602565,..,..,6.49243021011353,79.685,27.5448463633059,47314.796858175,25773.4566962928,0.37858284492362,-3.32674570670625,86.7435538429955,98.1829442585474,1.09184802655847,9088,1,8.8,..,..,2.82985240186539,46114,4.8111
Kyrgyz Republic,KGZ,2019,YR2019,0.283950480835278,2.19768195988342,16.3952442785341,..,42.3213386535645,96.3668518066406,4.25,8.99,36.1485905327178,7.24382239004934,..,..,5.36674976348877,71.6,55.2407600818778,5258.36669631142,1226.82446375586,4.55263119082343,2.43933520707868,..,99.3730765509503,1.13362257718798,-34270,9,18.3,29.7,..,2.08787614010317,59498,18.9967536717482
Lao PDR,LAO,2019,YR2019,0.317496950423804,..,..,..,14.453311920166,65.7687301635742,..,..,..,..,..,..,2.47532963752747,68.138,49.4872742489896,7840.07138309428,2564.0196538036,4.03149181360237,3.89244790332448,..,..,3.32255881256934,-10303,6,45.8,..,..,1.49540481526456,38576,..
Latvia,LVA,2019,YR2019,0.120234983151165,3.39150105488727,19.4340460603785,..,94.8645324707031,107.602462768555,6.31,12.42,22.992892939046,22.3331115178001,..,..,4.42507982254028,75.3878048780488,24.6526904066734,31038.6792668747,16069.8404323203,3.24538004464809,3.28529326138734,..,120.28793970529,2.81140920075622,-7903,9,4,34.5,-417927000,-0.695239140136066,13436,..
Lebanon,LBN,2019,YR2019,0.27007069548069,3.14775065975211,15.5251555911425,..,..,..,11.3,23.32,12.2399859501545,-8.53150303224261,..,..,2.59202003479004,79.236,43.6000242335459,17172.1976534388,8066.01527008681,3.66940342730081,-4.44462787047527,14.8897833446763,62.5593132324084,3.0053894939038,-237572,2,8.7,..,..,-2.87986589552119,..,10.5133333333333
Lesotho,LSO,2019,YR2019,0.131009354489895,..,36.8723199020382,..,..,64.0802383422852,16.88,25.59,26.2660945980554,-19.2701612301277,..,..,7.99171018600464,54.173,56.0034177955073,2533.1190580334,1074.6225006431,1.45610727254099,-0.327910894886358,..,135.469405463349,5.18708359197993,-2989,5,77.2,..,..,1.25167812193172,5520,11.3335833333333
Liberia,LBR,2019,YR2019,0.156286287783596,..,..,..,..,..,..,..,..,..,..,..,2.27039003372192,61.104,76.37254219784,1455.63764867217,644.162065213927,2.61121194879185,-4.34345588640666,..,..,..,-19697,10,80.6,..,..,1.94236198013985,..,..
Libya,LBY,2019,YR2019,0.368121552492755,..,39.8303308187596,..,..,..,..,..,14.162884479349,21.6239912015738,..,..,..,72.463,45.8310357586939,22535.4456198617,9278.33794257088,0,-12.4298672891634,..,78.2091278508398,..,-1352,0,11.5,..,..,1.39951441440416,..,..
Liechtenstein,LIE,2019,YR2019,..,2.59861753547113,..,..,41.1658401489258,119.209663391113,..,..,..,..,..,..,..,84.1609756097561,21.9386768742992,..,..,..,..,..,..,..,178,3,..,..,..,0.78525898208049,328,..
Lithuania,LTU,2019,YR2019,0.105187411677518,3.29930718059109,16.8926927299589,..,72.0089721679688,108.445510864258,6.26,11.85,17.7141762497857,23.0317297966084,..,..,3.97215008735657,76.2829268292683,23.0922318362589,37184.4536013211,17249.7184431077,6.27251979775826,4.90241721274171,..,149.331572538802,2.33450937988024,-13398,6,3.8,35.3,-1522056000,-0.264704354944785,28893,..
Luxembourg,LUX,2019,YR2019,0.127356730594264,0.645189387279769,17.2429698929617,..,18.4300003051758,104.695388793945,5.59,16.99,18.2891226331248,49.0877549003594,..,..,3.71982002258301,82.6390243902439,23.0476234660976,114542.496933956,106729.024882424,18.333085617537,0.331126120618961,63.3486622212254,377.843001431952,1.74332075653843,10365,3,2.8,34.2,..,1.9628449198635,5672,..
"Macao SAR, China",MAC,2019,YR2019,..,0.30136253536301,10.1827037461002,..,100.084671020508,101.036689758301,1.75,4.88,14.108589769488,64.7615199874307,..,..,3.05862998962402,84.978,18.6355156719898,122822.12445644,76958.8625966564,11.7916534419144,-4.37193673589049,..,114.392296815029,2.75193081051976,8578,..,..,..,..,1.92636052888412,2684,5.35664740505193
North Macedonia,MKD,2019,YR2019,0.222021094534376,1.13519404250167,13.9974562678743,..,42.1440391540527,79.6623306274414,17.39,35.76,34.2601160992835,20.4999978345073,..,..,..,76.6024390243903,23.3369788741028,16773.081717702,5386.20032539651,4.35892493383855,3.88655214622943,..,138.576231840539,0.766439573459688,-987,9,6.8,33.5,..,0.022971838409121,18693,5.60936382915275
Madagascar,MDG,2019,YR2019,0.0905690151964358,..,15.1061191329487,..,..,34.5955009460449,..,..,22.6840481281605,13.9971638155355,..,..,2.99485993385315,65.882,70.5112561863405,1585.47165110942,478.926966738444,3.36279834896076,1.80753212621842,..,62.6013230457367,5.61051441492366,-1487,2,66.1,..,..,2.52531662828285,82444,49
Malawi,MWI,2019,YR2019,0.0487106989296579,..,..,..,..,37.0849113464355,..,..,..,..,..,..,3.71131992340088,64.119,83.8056697216954,1517.70316939192,396.316837841203,0.500915850281206,2.65676906844917,..,..,9.37083605605672,-2228,11,45.6,38.5,..,2.68285756018368,14528,25.6743055555555
Malaysia,MYS,2019,YR2019,0.267682179635031,0.945006144750036,11.6531084695433,..,43.0616073608398,83.748161315918,3.26,10.52,21.0481920861379,28.5752060171689,..,..,4.15661001205444,75.76,33.9267760952053,27674.4016160348,11114.5419859856,2.5069948054637,3.12489888476217,110.620176570563,123.028508571874,0.662891865764376,60824,7,7.9,..,..,1.24151463105699,228634,4.87689294871795
Maldives,MDV,2019,YR2019,0.195007720389842,0.594638737145893,15.527432849479,..,34.121940612793,81.3268737792969,4.56,13.87,46.7255442066931,37.7568543372218,..,..,4.12159013748169,80.116,29.6151172683283,20574.4044296743,10753.1431705011,17.1326245603826,3.96632116902073,..,147.850993686916,0.220029731065364,6690,2,7,29.3,..,2.96723053964137,3932,11.5226357918998
Mali,MLI,2019,YR2019,0.122645665173646,..,15.7431097448324,..,4.90473556518555,..,..,..,22.5316826376196,10.2835621384558,..,..,3.4841001033783,59.664,96.2400741758669,2219.04674252443,779.326622345063,4.97152234389747,1.53145706904149,..,63.6587027641655,-1.65826694846368,-44428,6,103.1,..,..,3.12666991376831,..,..
Malta,MLT,2019,YR2019,0.067509134998184,0.992783457050698,16.6024815096918,..,64.8729095458984,108.029182434082,3.62,9.33,21.2401853657842,38.1281187935563,..,..,4.98805999755859,82.8585365853659,19.5860379884088,45425.8069251886,28375.2709332443,26.5339090287188,1.83414474536576,33.8038368866521,275.290256906726,1.64206001768947,11247,2,6.1,31,..,3.93135631850717,4370.505859375,..
Marshall Islands,MHL,2019,YR2019,0.681881735748566,..,60.3581721245707,..,25.8227806091309,63.9449691772461,6.34,25.68,51.4703722406788,-36.1932887209519,..,..,15.75,64.746,56.8742271040954,5647.06691717954,4984.64720085852,2.22537333468243,13.9640627353503,..,152.26693261681,..,-1901,10,31.8,35.5,..,-2.78025337337267,..,..
Mauritania,MRT,2019,YR2019,0.156993348599458,1.09492834891534,12.1718098023454,..,5.76324987411499,39.4089698791504,10.42,22.77,46.9436065046887,33.9187619707271,..,..,1.82437002658844,65.687,79.2088951819315,5505.64633125718,1670.02712488425,-10.9539707365629,2.57917476668513,..,96.1844836442174,2.30009262117936,-3018,2,43.2,..,..,2.6146547551014,9029,..
Mauritius,MUS,2019,YR2019,0.133605092049305,2.08288493449327,14.7496231263718,..,44.391529083252,97.1211013793945,6.33,21.79,19.4359392940552,11.8779632421286,..,..,4.71929979324341,74.2358536585366,24.5738426770834,23681.5804484727,10959.3361409219,3.07610747160356,2.85829805069358,59.6810667076086,96.2888687542471,0.405655190309511,-1034,6,15.9,..,..,0.0322400432027594,10038,8.45
Mexico,MEX,2019,YR2019,0.177592259815622,29.3087972148416,11.3934482044803,..,42.8306999206543,104.647239685059,3.48,7.2,21.1601980477389,23.701782155826,..,..,..,74.202,38.7735184183204,20064.5004997154,10013.7031924835,2.35601932765412,-1.05391817559632,32.5937734069899,77.8973469505672,3.6359614212705,-47764,10,14.2,..,..,0.860265089734684,866625,8.42916666666667
"Micronesia, Fed. Sts.",FSM,2019,YR2019,0.42626391249242,0.897839349605175,..,..,..,..,..,..,..,..,..,..,..,71.077,50,3540.78241029086,2984.93012390233,..,0.766026841647061,..,104.95145631068,1.92385170787926,-1283,10,26.4,..,..,0.404844283265269,1021,14.7
Moldova,MDA,2019,YR2019,0.244866896165634,3.89131211506964,15.1944458010497,..,56.2715110778809,109.082412719727,1.5,3.25,25.3495579160937,0.576635982733163,..,..,6.10378980636597,70.935,28.8443728452134,13030.1830360711,3436.4491041805,4.23653315381358,5.35601439052382,..,85.9023777732758,4.83778351428723,-28328,8,14.7,26,..,-1.60031653578231,21841,8.25
Monaco,MCO,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,1.15266001224518,..,23.9640201736599,..,191193.713657546,..,6.89123204361906,..,..,..,416,..,3.1,..,..,0.0135020185722688,450,..
Mongolia,MNG,2019,YR2019,0.549786018594505,6.34197899753111,13.1079648639384,..,64.4736785888672,91.5033569335938,9.27,22.32,35.5918451562282,29.6297968952983,..,..,11.7809410095215,71.822,49.5067101029997,12458.0184257633,4385.11160331345,17.1989395329724,3.36636842493083,..,124.396514622815,7.30106953550724,10664,9,16,..,..,2.13999709629328,22144,16.996623348027
Montenegro,MNE,2019,YR2019,0.175754896035166,3.64850030774307,17.7979079271492,..,54.1748199462891,90.0880432128906,15.13,25.18,31.9777942454271,10.8264870013669,..,..,..,76.6829268292683,27.5238872454011,21533.963774298,7684.1498693025,7.53492968014838,4.09623694324546,..,108.8445840579,0.361563704540798,-1636,12,2.7,..,..,-0.0319870125812963,..,6.175
Morocco,MAR,2019,YR2019,0.226491299545713,1.72706302946825,18.1789365690301,..,38.5453300476074,81.1855773925781,..,..,30.594933523466,22.7829325814059,..,..,5.93135976791382,74.27,41.476006579349,8217.5986328125,3355.62963867188,1.33480122674375,1.80265718208821,50.7409929172891,75.9981158798422,0.303386036590361,-91959,2,19.5,..,..,1.04358412669917,155188,..
Mozambique,MOZ,2019,YR2019,0.184766295686881,..,22.7552221948865,..,..,30.2651538848877,..,..,60.0583114976278,12.596114074272,..,..,6.0844202041626,61.166,82.6050567893776,1285.18482168195,600.403941051414,21.9578981123618,-0.596554736263016,..,111.998920449247,2.78110631182942,-17639,1,73.5,..,..,2.88656653514774,30121,18.9583333333333
Myanmar,MMR,2019,YR2019,0.137536408365005,2.86386487293829,18.3026038311197,..,..,..,0.41,1.3,30.6419790846955,29.5915639718099,..,..,2.13986992835999,66.61,37.1383950902132,4829.53670703209,1577.80271146309,2.52641342173559,5.99733705000018,..,60.6889892165365,8.82506696804562,-100810,2,44.8,..,..,0.70799909760206,..,16
Namibia,NAM,2019,YR2019,0.165181371538197,13.0382652649373,25.5542323471571,..,26.6359596252441,..,..,..,15.3291134382396,5.23009310593143,..,..,8.92702960968018,63.075,60.5816530955813,10009.5780666664,4596.62707017602,-1.40710630862618,-2.49939820664333,20.8023039060323,82.9011520777506,3.72239414422688,-8596,5,41.9,..,..,1.68846817343864,..,9.87583333333333
Nepal,NPL,2019,YR2019,0.114107014326717,2.28561554791537,8.11709521131496,..,13.3268299102783,80.1799163818359,..,..,41.3787409099932,15.3034072866494,..,..,3.48568081855774,69.558,48.7340444004085,3922.08133124638,1061.48601942862,0.542801816254912,5.45191654079622,..,49.2495265870879,5.56868547784925,-70597,10,29.3,..,..,1.13635160669166,122582,..
Netherlands,NLD,2019,YR2019,0.140132097605943,0.627762243861846,24.6150629416214,..,..,115.040657043457,3.38,6.73,22.0964141417247,31.9011628979589,..,..,5.15986013412476,82.1121951219512,24.2545926850539,56784.0372529824,48443.7320540283,-1.55921351041995,1.28988912106223,..,155.270676645491,2.63369910249593,60266,2,4,29.2,-15417996000,0.65507157480522,114672.78125,..
New Caledonia,NCL,2019,YR2019,..,..,..,..,..,..,10.88,32.49,..,..,..,..,..,80.4197073170732,34.2963607142071,..,..,-6.94125027095166,..,..,..,..,-2336,..,..,..,..,0.022123893895559,..,..
New Zealand,NZL,2019,YR2019,0.148720392464974,2.60131307831324,18.8979124416993,..,80.3025512695313,123.144180297852,4.11,11.28,23.6875978108881,23.9863936758991,..,..,5.16372013092041,82.0560975609756,29.510938902512,43110.3712370682,40599.0315482907,1.36611163588417,0.579300660120325,50.5446607424522,54.3388678476512,1.61963190184049,103392,12,4.9,..,-7420494000,1.59115889619722,36445.0390625,..
Nicaragua,NIC,2019,YR2019,0.140946192107511,7.72817937299405,15.0981971228746,..,19.5601806640625,..,..,..,17.371327494715,12.8806726395061,..,..,4.59999990463257,74.054,47.7502926946358,5348.98731546075,1947.40761487163,3.99312958089458,-5.10326323500358,..,94.6759758593746,5.3762899084413,-19733,2,14.9,..,..,1.38548472522896,..,12.4572600828874
Niger,NER,2019,YR2019,0.0722442287223525,..,15.6225021696213,..,4.22824001312256,..,..,..,30.6084439388493,15.737544170295,..,..,3.52752995491028,62.897,100.842128944261,1217.44598648234,520.919398398195,5.5522016718492,2.02640298596314,..,37.714365532054,-2.48979265070851,-15787,6,117,..,..,3.76544488542259,..,..
Nigeria,NGA,2019,YR2019,0.107175058999192,21.7407887419939,5.57200212682975,..,..,..,10.7,29.86,25.4158909893366,19.8338667401143,..,..,..,52.91,82.0310543715754,5076.36829020617,2505.46274518312,0.514393406557795,-0.263456378233769,9.80130288968768,34.0238778317108,11.3964223378115,-103989,9,116.8,..,..,2.44820069834557,..,15.3765869808333
Northern Mariana Islands,MNP,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32.4591015320696,..,20818.1538599927,..,-10.3477218075539,..,104.060913705584,..,-806,..,..,..,..,-0.890563183033054,..,..
